len,accuracy
20,0.5
40,0.525
60,0.48333333333333334
80,0.4625
100,0.46
120,0.45
140,0.45
160,0.4875
180,0.4722222222222222
200,0.465
220,0.4636363636363636
240,0.475
260,0.46153846153846156
280,0.46785714285714286
