len,accuracy
20,0.4
40,0.5
60,0.5
80,0.5
100,0.49
120,0.48333333333333334
140,0.4785714285714286
160,0.49375
180,0.4777777777777778
200,0.485
220,0.4909090909090909
240,0.49583333333333335
260,0.48846153846153845
280,0.49642857142857144
