len,accuracy
50,0.5
100,0.49
150,0.4866666666666667
200,0.485
250,0.5
300,0.51
350,0.5057142857142857
400,0.5075
450,0.49333333333333335
500,0.508
550,0.5072727272727273
600,0.5133333333333333
650,0.5092307692307693
700,0.5071428571428571
750,0.5026666666666667
800,0.50125
850,0.4976470588235294
900,0.4955555555555556
950,0.5
1000,0.503
1050,0.5076190476190476
1100,0.5027272727272727
1150,0.5026086956521739
