len,accuracy
20,0.45
40,0.5
60,0.4666666666666667
80,0.475
100,0.49
120,0.48333333333333334
140,0.4785714285714286
160,0.50625
180,0.5111111111111111
200,0.505
220,0.5
240,0.5
260,0.49230769230769234
280,0.5035714285714286
